Step,Text,Caution,Warning,Figure,StepDisplay,Tool
Name:Disabling Alarm Procedure,,,,,,
1,"On the <b>RIGHT</b> side of the <b>EVA</b> Kit, locate and use the <b>PANEL</b> <b>ACCESS</b> <b>KEY</b> to unlock the <b>PANEL</b> <b>ACCESS</b> <b>DOOR</b> <b>LOCKS.</b>", ,The keys are on a tension-spring cable.,True,1.1,
2,Carefully return keys to the side of the <b>EVA</b> kit., , ,False,1.2,
3,Insert your fingers in the <b>CENTER</b> <b>OPENING</b> and secure the <b>PANEL</b> <b>ACCESS</b> <b>DOOR</b> in an <b>OPEN</b> position., ,Door can accidentally close.,True,1.3,
4,"On your belt, use the <b>BLUE</b> <b>CARABINEER</b> to securely tether to the <b>TETHER</b> <b>CABLE</b> inside the <b>STORAGE.</b>", ,Notice the <b>TETHER</b> <b>CABLE</b> is adjustable.,True,1.4,
5,Locate the <b>E-STOP</b> button and gently press down to temporarily disable the alarm., , ,True,1.5,
6,Locate the <b>FUSIBLE</b> <b>DISCONNECT</b> box and tether the <b>BLUE</b> <b>CARABINEER</b> to the <b>TETHER</b> <b>CABLE.</b>, , ,False,1.6,
7,Remove the <b>BLUE</b> <b>CARABINEER</b> from the <b>FUSIBLE</b> <b>DISCONNECT</b> box and transfer it to <b>STORAGE.</b>, , ,True,1.7,
8,Open the <b>FUSIBLE</b> <b>DISCONNECT</b> box and secure the lid in the open position.,Pull the locking tab toward <b>STORAGE</b> with the index finger while lifting the cover with the thumb., ,True,1.8,
9,Locate the <b>BLACK</b> <b>DISCONNECT</b> and tether it to the <b>TETHER</b> <b>CABLE.</b>, , ,False,1.9,
10,Remove the <b>DISCONNECT</b> and place it in <b>STORAGE.</b>,Pull up with the index and middle fingers while pushing down on the <b>FUSE</b> <b>ACCESS</b> <b>PANEL</b> with the thumb., ,True,1.1,
11,Tether the <b>FUSE</b> <b>ACCESS</b> <b>PANEL</b> to the <b>TETHER</b> <b>CABLE.</b>, , ,False,1.11,
12,Remove the <b>FUSE</b> <b>ACCESS</b> <b>PANEL</b> by pulling straight up., , ,True,1.12,
13,Place the <b>FUSE</b> <b>ACCESS</b> <b>PANEL</b> into <b>STORAGE.</b>, , ,False,1.13,
14,Tether the <b>ALARM</b> <b>FUSE</b> to the <b>TETHER</b> <b>CABLE.</b>, , ,False,1.14,
15,"In Storage, locate the <b>BLUE</b> <b>FUSE</b> <b>PULLER.</b>", , ,False,1.15,
16,Use the <b>BLUE</b> <b>FUSE</b> <b>PULLER</b> to remove <b>ONLY</b> the <b>ALARM</b> <b>FUSE.</b>,Rock the <b>ALARM</b> <b>FUSE</b> with the <b>FUSE</b> <b>PULLER</b> when pulling up., ,True,1.16,
17,Return the <b>ALARM</b> <b>FUSE</b> and the <b>FUSE</b> <b>PULLER</b> to <b>STORAGE.</b>, , ,False,1.17,
18,"In <b>STORAGE,</b> locate the <b>FUSE</b> <b>ACCESS</b> <b>PANEL</b> and reinstall it into the <b>FUSIBLE</b> <b>DISCONNECT</b> box.", , ,True,1.18,
19,Remove the <b>FUSE</b> <b>ACCESS</b> <b>PANEL</b> tether from the <b>TETHER</b> <b>CABLE</b> and stow inside., ,All tethers are under spring tension and can retract quickly.,False,1.19,
20,"In <b>STORAGE,</b> locate the <b>DISCONNECT</b> and reinstall it into the <b>FUSIBLE</b> <b>DISCONNECT</b> box.", ,"The <b>DISCONNECT</b> must read <b>""ON""ù</b> in the upper right corner to restore conductivity.",True,1.2,
21,Remove the <b>DISCONNECT</b> tether from the <b>TETHER</b> <b>CABLE.</b>, ,All tethers are under spring tension and can retract quickly.,False,1.21,
22,Close the <b>FUSIBLE</b> <b>DISCONNECT</b> box cover., , ,False,1.22,
23,"In <b>STORAGE,</b> use the <b>BLUE</b> <b>CARABINEER</b> to clip and lock the <b>FUSIBLE</b> <b>DISCONNECT</b> box cover.", , ,True,1.23,
