Step,Text,Caution,Warning,Figure,StepDisplay,Tool
Name:Disabling Alarm Procedure,,,,,,
1,"On the RIGHT side of the EVA Kit, locate and use the PANEL ACCESS KEY to unlock the PANEL ACCESS DOOR LOCKS.", ,The keys are on a tension-spring cable.,TRUE,1.1,
2,Carefully return keys to the side of the EVA kit., , ,FALSE,1.2,
3,Insert your fingers in the CENTER OPENING and secure the PANEL ACCESS DOOR in an OPEN position., ,Door can accidentally close.,TRUE,1.3,
4,"On your belt, use the BLUE CARABINEER to securely tether to the TETHER CABLE inside the STORAGE.", ,Notice the TETHER CABLE is adjustable.,TRUE,1.4,carabiner
5,Locate the E-STOP button and gently press down to temporarily disable the alarm., , ,TRUE,1.5,
6,Locate the FUSIBLE DISCONNECT box and tether the BLUE CARABINEER to the TETHER CABLE., , ,FALSE,1.6,carabiner
7,Remove the BLUE CARABINEER from the FUSIBLE DISCONNECT box and transfer it to STORAGE., , ,TRUE,1.7,carabiner
8,Open the FUSIBLE DISCONNECT box and secure the lid in the open position.,Pull the locking tab toward STORAGE with the index finger while lifting the cover with the thumb., ,TRUE,1.8,
9,Locate the BLACK DISCONNECT and tether it to the TETHER CABLE., , ,FALSE,1.9,
10,Remove the DISCONNECT and place it in STORAGE.,Pull up with the index and middle fingers while pushing down on the FUSE ACCESS PANEL with the thumb., ,TRUE,1.10,
11,Tether the FUSE ACCESS PANEL to the TETHER CABLE., , ,FALSE,1.11,
12,Remove the FUSE ACCESS PANEL by pulling straight up., , ,TRUE,1.12,
13,Place the FUSE ACCESS PANEL into STORAGE., , ,FALSE,1.13,
14,Tether the ALARM FUSE to the TETHER CABLE., , ,FALSE,1.14,
15,"In Storage, locate the BLUE FUSE PULLER.", , ,FALSE,1.15,FusePuller
16,Use the BLUE FUSE PULLER to remove ONLY the ALARM FUSE.,Rock the ALARM FUSE with the FUSE PULLER when pulling up., ,TRUE,1.16,fusepuller60Afuse
17,Return the ALARM FUSE and the FUSE PULLER to STORAGE., , ,FALSE,1.17,fusepuller60Afuse
18,"In STORAGE, locate the FUSE ACCESS PANEL and reinstall it into the FUSIBLE DISCONNECT box.", , ,TRUE,1.18,
19,Remove the FUSE ACCESS PANEL tether from the TETHER CABLE and stow inside., ,All tethers are under spring tension and can retract quickly.,FALSE,1.19,
20,"In STORAGE, locate the DISCONNECT and reinstall it into the FUSIBLE DISCONNECT box.", ,"The DISCONNECT must read ""ON""ù in the upper right corner to restore conductivity.",TRUE,1.20,
21,Remove the DISCONNECT tether from the TETHER CABLE., ,All tethers are under spring tension and can retract quickly.,FALSE,1.21,
22,Close the FUSIBLE DISCONNECT box cover., , ,FALSE,1.22,
23,"In STORAGE, use the BLUE CARABINEER to clip and lock the FUSIBLE DISCONNECT box cover.", , ,TRUE,1.23,carabiner
24,Remove the BLUE CARABINEER's tether from the TETHER CABLE., ,All tethers are under spring tension and can retract quickly.,FALSE,1.24,carabiner
Name:Rerouting Power Procedure,,,,,,
1, Locate the Aux. Power Input,,,FALSE,2.1,
2, Locate BATTERY PACK and tether to TETHER CABLE.,,,FALSE,2.2,battery
3, Undo the BATTERY PACK LEADS from the AUX. POWER INPUT.,Depress the red and black plastic hammers on the side of the AUX. POWER INPUT and pull the leads straight up.,,TRUE,2.3,
4, Remove BATTERY PACK from AUX. POWER INPUT.,,,FALSE,2.4,battery
5, Locate the ON/OFF switch on the back of the BATTERY PACK and switch it to the OFF position.,,,TRUE,2.5,battery
6, Place the BATTERY PACK into STORAGE.,,,FALSE,2.6,battery
7,"In STORAGE, find the replacement BATTERY PACK.",,,FALSE,2.7,battery
8,Locate the ON/OFF switch on the back of the BATTERY PACK and switch it to the ON position.,,,FALSE,2.8,battery
9,Attach the replacement BATTERY PACK onto the AUX. POWER INPUT by the Velcro.,,,FALSE,2.9,battery
10, Insert the BATTERY PACK leads back into same colored ports.,Depress the red and black plastic hammers on the side of the AUX. POWER INPUT and push leads straight into their ports.,,FALSE,2.10,battery
